"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"237",13,24,20,32,11,13,24,20,32,11,4.30955e-12,4.30955e-12,3.92287283688117e-12,8.9725647252922
"238",0,1,0,99,0,0,1,0,99,0,3.51981e-12,3.51981e-12,4.20645157752783e-12,19.5079159820511
"239",12,4,36,40,8,12,4,36,40,8,4.26873e-12,4.26873e-12,4.01031852262447e-12,6.05359152196387
"240",0,13,28,45,14,0,13,28,45,14,3.7983e-12,3.7983e-12,4.06715813390065e-12,7.07838069401188
"241",21,37,0,10,32,21,37,0,10,32,4.58337e-12,4.58337e-12,4.22002241504707e-12,7.9275202515382
"242",9,0,76,0,15,9,0,76,0,15,4.27766e-12,4.27766e-12,3.87904175276466e-12,9.31860520086554
"243",58,0,22,20,0,58,0,22,20,0,3.79162e-12,3.79162e-12,3.97131744944601e-12,4.73933172221923
"244",27,15,22,36,0,27,15,22,36,0,3.96168e-12,3.96168e-12,3.82988680410946e-12,3.3266996801997
"245",12,19,12,43,14,12,19,12,43,14,4.40138e-12,4.40138e-12,4.09195009258291e-12,7.03029294032974
"246",0,0,44,56,0,0,0,44,56,0,3.8161e-12,3.8161e-12,3.89569642635785e-12,2.0858055700284
"247",30,7,29,21,13,30,7,29,21,13,4.31758e-12,4.31758e-12,4.07483430907536e-12,5.62226272413348
"248",45,42,0,13,0,45,42,0,13,0,3.60411e-12,3.60411e-12,3.62750422201091e-12,0.649098446243479
"249",34,2,5,30,29,34,2,5,30,29,4.59482e-12,4.59482e-12,4.55491865037498e-12,0.868398536286896
"250",53,0,0,14,33,53,0,0,14,33,4.60372e-12,4.60372e-12,4.65027244281014e-12,1.01119187983056
"251",0,43,57,0,0,0,43,57,0,0,2.72714e-12,2.72714e-12,3.26298407975146e-12,19.6485724880814
"252",46,40,14,0,0,46,40,14,0,0,3.15684e-12,3.15684e-12,3.54815604362164e-12,12.3958149168675
"253",0,46,17,37,0,0,46,17,37,0,3.25635e-12,3.25635e-12,3.51936663881719e-12,8.07703836556843
"254",28,2,5,53,12,28,2,5,53,12,4.38225e-12,4.38225e-12,4.30113113692673e-12,1.85107794108677
"255",19,7,35,27,12,19,7,35,27,12,4.32016e-12,4.32016e-12,4.0316139086203e-12,6.67906029822268
"256",46,10,0,22,22,46,10,0,22,22,4.47919e-12,4.47919e-12,4.36574798364949e-12,2.53264577636825
"257",0,53,0,28,19,0,53,0,28,19,3.8381e-12,3.8381e-12,3.85039415239613e-12,0.320318709677547
"258",37,9,0,17,37,37,9,0,17,37,4.65367e-12,4.65367e-12,4.62336683405048e-12,0.651167056312918
